video_name,source_model,eval_model,k,c,original_caption,target,adversarial_caption_np,adversarial_caption_video,score,success
77iDIp40m9E_159_181.avi,vgg16,resnet152,10,10,A man is playing with a cat,dog,A monkey is hanging on a chair,Two cats are fighting,0.43158466,0
77iDIp40m9E_159_181.avi,vgg16,resnet152,30,10,A chimpanzee is fighting with a man,dog,A monkey is playing with a toy,A monkey is fighting,0.4726097,0
77iDIp40m9E_159_181.avi,vgg16,resnet152,40,10,A man is fighting with a monkey,dog,A monkey is playing,A monkey is playing with a ball,0.46433988,0
7HcYJKMxpcg_20_28.avi,vgg16,resnet152,10,10,A lion is walking in the grass,dog,A lion is walking in the grass,A lion is walking in the grass,0.48887232,0
7HcYJKMxpcg_20_28.avi,vgg16,resnet152,30,10,A dog is walking around,dog,A lion is walking in the grass,A lion is walking in the grass,0.48887232,0
7HcYJKMxpcg_20_28.avi,vgg16,resnet152,40,10,A lion is walking in the grass,dog,A tiger is playing with the ground,A lion is walking,0.43362227,0
AJJ-iQkbRNE_97_109.avi,vgg16,resnet152,10,10,A man is cutting a pineapple,dog,A man is cutting a piece of paper with scissors,A man is playing with a <UNK>,0.36926842,0
AJJ-iQkbRNE_97_109.avi,vgg16,resnet152,30,10,A man is cutting a pineapple,dog,A man is cutting a piece of paper,A person is walking,0.37047246,0
AJJ-iQkbRNE_97_109.avi,vgg16,resnet152,40,10,A man is cutting a pineapple,dog,A man is cutting a paper,A man is holding his head,0.36161858,0
kI6MWZrl8v8_149_161.avi,vgg16,resnet152,10,10,A man is playing a guitar and singing,dog,A man is singing and playing the guitar,A man is walking on a stage,0.31406146,0
kI6MWZrl8v8_149_161.avi,vgg16,resnet152,30,10,A man is singing and playing a guitar,dog,A man is sitting on a chair and singing a song,A man is walking and singing,0.32890216,0
kI6MWZrl8v8_149_161.avi,vgg16,resnet152,40,10,A man is playing a guitar and singing,dog,A man is sitting and singing a song,A man is walking and singing,0.33725667,0
MSrJTeKNzdI_32_36.avi,vgg16,resnet152,10,10,A man is skiing on ice,dog,A cat is playing,A man is playing with his toy,0.49744025,0
MSrJTeKNzdI_32_36.avi,vgg16,resnet152,30,10,A man is skiing down a hill,dog,A <UNK> is playing,A cat is playing with the front of his front,0.27426243,0
MSrJTeKNzdI_32_36.avi,vgg16,resnet152,40,10,A man is skiing down a hill,dog,A cat is <UNK>,A cat is playing,0.40006754,0
nc8hwLaOyZU_1_19.avi,vgg16,resnet152,10,10,A man is riding a bicycle,dog,A <UNK> is dancing,A man is dancing,0.27098188,0
nc8hwLaOyZU_1_19.avi,vgg16,resnet152,30,10,A man is riding a bicycle,dog,A <UNK> is dancing with a large crowd of people,A man is playing with a large monkey,0.24056156,0
nc8hwLaOyZU_1_19.avi,vgg16,resnet152,40,10,A man is riding a bicycle,dog,A <UNK> is dancing with a large crowd,A man is doing a <UNK>,0.24747181,0
NKtfKR4GNjU_0_20.avi,vgg16,resnet152,10,10,A man is hitting a baseball,dog,A man is kicking a ball,A man is fighting with a ball,0.36805072,0
NKtfKR4GNjU_0_20.avi,vgg16,resnet152,30,10,A man is throwing a ball,dog,A man is kicking a ball at a park,A man is hitting a baseball with a soccer ball,0.35868406,0
NKtfKR4GNjU_0_20.avi,vgg16,resnet152,40,10,A man is hitting a baseball,dog,A man is kicking a ball at the head,A man is kicking a baseball,0.35430223,0
O2qiPS2NCeY_2_18.avi,vgg16,resnet152,10,10,A bird is eating,dog,A <UNK> is eating a piece of fruit,A small animal is eating,0.31441432,0
O2qiPS2NCeY_2_18.avi,vgg16,resnet152,30,10,A bird is eating from a bowl,dog,A man is holding a large bird,A small animal is playing with the water,0.34758133,0
O2qiPS2NCeY_2_18.avi,vgg16,resnet152,40,10,A bird is eating,dog,A man is holding a large animal,A <UNK> is playing with a <UNK>,0.46408024,0
pFSoWsocv0g_8_17.avi,vgg16,resnet152,10,10,A dog is playing with a puppy,dog,A man is playing with a monkey,A baby is dancing with a bear,0.44228828,0
pFSoWsocv0g_8_17.avi,vgg16,resnet152,30,10,Two dogs are playing,dog,A man is playing with a monkey,A baby is playing with a bear,0.44228828,0
pFSoWsocv0g_8_17.avi,vgg16,resnet152,40,10,A dog is playing with a toy,dog,A man is <UNK> on a bed,A baby is walking,0.33279985,0
SaYwh6chmiw_15_40.avi,vgg16,resnet152,10,10,A train is moving down the tracks and then stops,dog,A small girl is playing,A <UNK> is going to <UNK>,0.3821561,0
SaYwh6chmiw_15_40.avi,vgg16,resnet152,30,10,A train is moving down the tracks,dog,A small boy is playing,A <UNK> is going to <UNK> on a track,0.3863374,0
SaYwh6chmiw_15_40.avi,vgg16,resnet152,40,10,A train is moving down the tracks,dog,A <UNK> is playing,A man is running,0.27426243,0
YEmS8ZQIhTA_7_20.avi,vgg16,resnet152,10,10,A man is shooting a basketball,dog,The <UNK> are playing,Two <UNK> are playing,0.25766295,0
YEmS8ZQIhTA_7_20.avi,vgg16,resnet152,30,10,A man is throwing a basketball and knocks a shot,dog,The <UNK> are dancing,A man is <UNK> a girl,0.27736115,0
YEmS8ZQIhTA_7_20.avi,vgg16,resnet152,40,10,A man is shooting a basketball,dog,The <UNK> are dancing,A <UNK> is playing with a girl,0.27734503,0
